id,chapter,zoom,layer,image,description,lon,lat
1,1843,11,layer/layer1843.geojson,img/image.png,Rocky Hill incorporated from Wethersfield in 1843,-72.667,41.668
2,1845,11,layer/layer1845.geojson,img/image.png,South Windsor incorporated from East Windsor in 1845,-72.581,41.844
3,1850,11,layer/layer1850.geojson,img/image.png,New Britain incorporated from Berlin in 1850,-72.781,41.684
4,1854,11,layer/layer1854.geojson,img/image.png,"West Hartford incorporated from Hartford, and Windsor Locks incorporated from Windsor, in 1854",-72.711,41.839
5,1858,11,layer/layer1858.geojson,img/image.png,East Granby incorporated from Granby and Windsor Locks in 1858,-72.734,41.9457
6,1869,11,layer/layer1869.geojson,img/image.png,Plainville incorporated from Farmington in 1869,-72.863,41.675
7,1871,11,layer/layer1871.geojson,img/image.png,Newington incorporated from Wethersfield in 1871,-72.73,41.68
8,Today,10,layer/layer1871.geojson,img/image.png,The towns of Hartford County as they have existed from 1871 to the present,-72.717,41.8
